Age,Height_cm,Weight_kg,Income
69,177.3,79.2,27811.82
59,169.1,69.8,162387.08
28,169.9,68.0,40734.42
83,176.8,70.9,14279.10
88,168.1,69.7,27068.89
56,169.4,68.6,71975.19
57,175.5,76.3,12770.67
20,163.0,62.0,133096.94
23,165.2,70.4,184984.05
36,158.0,64.8,23369.64
23,184.1,78.7,80241.20
88,170.8,71.0,117019.40
48,177.4,70.8,19914.80
77,161.6,60.2,34197.24
42,178.7,74.0,38979.08
89,167.9,65.8,69746.57
59,179.6,76.6,185444.54
49,168.6,65.9,39263.64
19,162.4,63.8,12578.05
34,177.6,71.1,10082.10
38,170.4,72.7,24750.79
37,161.8,59.6,38159.96
39,158.5,59.8,144626.61
78,172.9,70.5,10297.48
69,169.8,72.3,41703.76
32,171.4,69.5,186221.00
53,171.6,75.0,70147.09
62,169.0,69.6,16084.03
78,172.7,68.8,57146.17
83,175.0,72.9,46533.62
45,169.0,68.4,149036.19
77,173.6,74.5,93058.21
32,174.0,73.2,61754.58
48,177.5,74.9,79373.15
40,154.4,54.9,49633.44
46,167.0,68.4,23963.73
30,173.9,71.5,91353.53
61,184.7,79.7,26001.11
79,178.3,73.2,65885.55
49,178.4,79.5,89360.51
40,188.6,80.9,15407.00
38,169.4,70.3,38863.96
54,184.5,81.8,192830.15
26,174.8,71.7,157884.08
34,163.1,61.7,69954.57
40,158.0,60.0,40330.95
61,168.4,66.4,37106.83
28,174.6,71.4,25924.06
84,168.1,70.8,44429.45
22,170.8,69.6,151316.07
75,183.4,80.7,26842.67
83,170.3,67.2,15027.70
88,183.8,84.1,113987.66
66,175.4,77.5,33974.98
79,177.5,76.3,19435.55
88,168.4,72.3,48569.65
39,169.5,67.3,34908.49
72,170.1,72.2,49402.83
25,169.4,67.7,73195.77
71,174.6,71.7,64729.54
70,179.0,81.1,70354.63
52,187.2,83.0,52678.87
28,165.1,62.6,10000.00
63,170.0,63.9,50029.15
25,177.0,75.2,14516.59
24,170.4,66.6,24231.38
58,160.9,68.1,24558.67
66,175.6,79.2,77487.82
46,164.4,55.9,10000.00
64,171.4,75.4,38707.14
65,182.0,77.2,42482.29
53,174.9,77.2,92916.90
61,174.4,76.2,50563.06
65,180.5,82.2,75566.26
65,169.1,74.0,51280.83
76,172.4,67.9,200000.00
63,168.8,65.2,31313.01
48,175.5,76.3,200000.00
32,160.7,62.3,28108.07
41,163.8,66.4,93594.63
52,170.2,68.5,183351.48
39,174.2,75.5,39323.56
18,183.3,76.8,43611.54
81,163.7,70.2,13891.77
69,169.5,76.4,200000.00
88,171.8,65.4,38787.32
82,162.0,67.7,169466.01
76,164.8,60.0,25025.90
87,157.4,61.2,13476.09
68,173.9,69.7,26935.47
89,164.4,66.2,56359.76
79,178.6,72.8,53447.52
58,172.9,73.0,26638.09
73,168.7,67.7,32067.55
57,164.7,64.3,54910.63
39,172.7,72.7,23811.36
27,168.2,62.8,31700.51
37,173.8,74.4,18268.99
75,178.1,75.2,98781.72
81,164.7,60.5,14873.98
90,167.0,69.0,36996.06
80,179.0,75.0,79033.00
26,179.7,77.3,84676.18
38,163.2,64.9,17613.06
64,164.1,64.4,99466.51
37,164.1,64.5,75227.17
35,171.7,72.5,89991.69
88,160.3,60.8,44731.20
76,170.2,72.6,74261.50
60,169.7,72.6,85318.30
25,165.7,64.1,200000.00
73,170.6,68.2,10599.46
59,170.6,71.7,72250.35
20,167.5,72.4,96040.25
70,181.8,82.6,65234.78
55,167.1,64.3,124222.71
63,170.3,68.7,118467.71
47,165.8,63.5,69010.03
56,176.8,79.4,45692.95
37,162.1,64.3,10000.00
42,171.0,67.2,200000.00
41,163.7,63.0,10000.00
31,158.0,57.1,91113.12
80,165.3,64.4,71422.04
39,165.6,67.5,15924.86
19,173.8,70.6,200000.00
49,164.1,64.9,118847.05
68,155.5,59.0,69486.49
70,156.1,52.8,16433.20
55,171.1,65.1,200000.00
18,173.3,70.6,200000.00
45,171.2,67.7,61485.01
66,167.0,68.2,200000.00
83,172.2,70.1,64698.57
65,157.1,61.4,75742.25
73,155.9,59.8,50249.39
83,159.8,63.9,104325.71
62,168.7,66.7,87354.41
56,175.5,73.3,32496.57
48,163.0,69.8,18642.28
43,163.7,61.2,43314.35
84,174.4,75.0,99511.17
26,167.1,70.0,43968.18
86,171.3,71.8,22151.06
65,170.7,72.6,47928.39
71,161.3,62.4,17759.34
66,182.6,81.5,31005.69
48,163.8,65.1,10000.00
75,183.3,76.4,56816.10
89,173.8,71.8,103165.53
41,171.9,66.4,52333.57
21,159.6,63.0,72696.31
47,172.4,72.0,58512.34
80,169.4,71.7,77779.03
26,168.4,64.6,86713.84
39,160.9,62.4,88371.44
77,176.1,74.8,142375.60
53,176.4,80.7,11782.33
56,158.0,59.3,101421.58
24,165.8,64.3,41070.96
77,168.0,67.8,32595.60
52,172.4,76.3,10000.00
58,171.0,72.8,11997.81
34,169.5,70.9,31813.40
19,173.4,71.5,23669.48
41,183.1,79.8,122504.24
31,167.9,72.1,97039.07
59,177.2,74.1,193423.47
39,182.3,78.3,43557.57
88,180.7,73.3,90121.13
37,174.6,68.5,12120.32
34,174.6,76.6,200000.00
39,173.0,65.8,200000.00
43,181.8,84.2,23717.64
72,167.3,66.4,200000.00
35,167.4,68.4,17759.28
73,165.4,68.8,27266.95
54,187.1,82.2,50433.78
78,180.7,80.2,22718.16
37,165.8,62.9,86223.63
50,161.6,60.8,139172.02
32,168.6,69.5,13937.58
49,170.5,71.0,55628.55
65,171.8,71.9,20507.49
58,159.2,65.3,64027.41
30,164.8,65.0,65390.89
67,178.5,81.3,28179.72
59,174.3,73.1,43129.99
58,165.1,67.2,54867.96
21,176.8,77.2,27010.28
46,176.8,73.5,11078.71
70,185.6,83.3,100504.08
46,168.5,63.8,99841.12
18,165.3,65.9,95769.69
37,169.0,68.8,20459.85
67,176.5,76.4,40554.77
33,161.2,62.0,11524.34
28,170.0,74.7,200000.00
72,170.3,64.5,15123.82
69,179.3,73.6,154253.43
61,166.2,63.4,24866.01
23,169.0,68.4,65660.07
41,173.7,70.1,39679.80
41,165.7,62.4,35341.94
46,164.4,63.4,72084.66
69,183.1,76.0,30427.27
84,173.9,73.7,11703.87
63,178.5,77.4,43069.99
27,175.1,69.8,136323.12
39,169.2,71.3,50747.89
24,165.8,62.0,21454.33
51,166.0,64.5,200000.00
34,164.9,65.9,50374.94
42,164.9,65.5,23258.07
50,164.5,60.3,200000.00
18,175.5,75.3,10518.55
61,163.3,63.9,21607.04
58,179.8,83.3,125392.65
54,175.3,75.5,21288.71
90,174.7,77.7,96509.30
47,171.7,67.9,108255.83
55,172.9,67.0,200000.00
56,167.0,70.9,130136.58
45,164.1,65.7,33107.24
86,166.9,72.3,25770.01
54,160.8,65.4,19329.88
87,173.2,75.2,18305.48
70,163.0,65.1,71286.11
86,174.6,70.6,10099.03
25,174.8,70.3,57807.52
62,171.8,64.8,10000.00
50,166.5,65.0,63023.37
52,164.1,64.6,30547.28
30,164.9,65.0,88380.61
78,163.5,64.2,10000.00
65,169.9,62.9,117223.37
51,169.2,69.3,50479.77
87,183.3,85.2,32802.58
49,183.0,78.0,80066.07
35,180.7,74.1,74652.20
58,168.6,63.5,14473.95
46,160.1,59.6,57592.19
51,171.3,69.3,96638.94
37,168.3,68.5,11920.78
60,170.3,71.9,60081.30
46,173.0,68.9,147780.06
83,174.9,71.8,58311.33
51,157.6,54.7,32747.51
22,179.1,78.7,14580.96
74,176.7,73.7,18581.45
59,166.0,65.4,34725.98
59,176.2,78.4,100585.17
27,168.2,68.2,85245.84
54,170.2,74.6,34874.19
74,169.0,70.8,23755.62
20,164.9,63.9,28846.40
57,161.2,59.0,141396.15
21,189.1,85.3,12647.46
27,174.4,76.0,50722.60
80,171.0,66.0,30603.60
60,182.7,78.3,88635.73
78,158.2,57.5,40011.79
41,168.3,66.7,15536.49
28,165.7,67.1,199472.60
25,166.5,67.1,58435.78
82,170.2,70.0,55469.51
82,166.9,62.6,13626.14
89,157.5,61.6,35668.63
55,162.9,66.7,24699.73
70,163.6,63.5,44069.09
32,166.9,64.2,10000.00
51,163.3,66.4,53562.88
50,168.8,72.4,100889.93
34,169.0,69.7,29120.06
29,154.9,55.4,60992.10
82,162.5,60.2,18761.35
46,171.5,72.3,200000.00
43,169.2,64.0,19063.17
55,157.7,55.5,40313.99
35,175.6,74.6,23185.48
27,174.2,77.5,20626.44
60,186.3,86.7,199785.13
81,182.3,80.9,181239.41
84,164.0,58.3,30867.01
32,169.1,61.3,200000.00
81,170.2,69.0,131885.73
43,178.9,82.1,122180.50
77,168.0,65.1,49374.38
40,179.4,79.8,143393.41
40,172.0,71.9,54966.87
49,164.4,63.1,20227.84
73,161.7,61.5,48244.82
48,177.1,70.2,32989.94
83,176.8,76.3,16216.40
83,177.7,73.8,122459.63
79,151.9,57.9,57725.76
32,169.1,68.0,46396.74
62,178.8,75.8,200000.00
37,160.0,55.1,57681.52
59,174.0,73.5,151192.78
24,166.1,67.7,19276.04
79,163.4,67.9,24507.22
42,164.9,62.7,49937.40
56,181.1,79.5,54466.19
41,176.3,75.8,65286.27
35,169.2,64.9,123188.12
36,185.4,80.6,200000.00
50,157.5,56.0,11701.16
73,165.5,62.4,28809.54
79,181.2,77.6,71667.32
36,168.7,66.2,200000.00
19,168.5,68.1,40756.96
31,169.2,70.6,48998.70
48,166.8,68.6,34510.31
62,176.5,77.1,80398.57
80,164.2,63.9,48605.57
50,188.8,84.0,104112.72
57,160.1,57.8,150245.98
46,181.8,81.4,35413.79
46,175.8,77.1,117860.67
72,165.2,69.3,25365.20
70,171.8,71.8,60813.68
70,175.9,72.9,27215.94
62,174.4,69.7,11181.92
76,156.7,54.9,114100.45
59,172.7,65.7,19834.58
88,160.3,64.8,25616.41
34,177.3,76.6,36063.50
65,177.5,82.6,200000.00
85,160.4,61.4,200000.00
31,156.2,58.7,11003.90
24,167.9,68.7,16396.53
19,168.3,69.8,200000.00
68,170.1,67.4,200000.00
21,172.9,71.6,76906.25
66,168.9,70.8,56572.18
54,170.7,74.7,47268.48
27,164.2,62.0,41041.05
41,162.8,64.2,16260.95
25,174.2,73.1,105282.84
41,173.6,71.5,21405.53
42,167.5,70.4,89995.42
76,162.6,70.3,51572.60
23,180.9,79.6,133952.67
65,182.0,77.2,26976.05
87,178.0,71.8,15853.12
37,174.4,72.8,20119.16
80,162.4,66.1,49039.90
77,179.0,76.3,43475.63
87,174.1,73.5,15767.00
39,162.8,69.5,30943.89
90,174.9,75.4,53665.35
78,166.4,66.6,94457.87
34,175.8,70.1,48983.96
75,178.0,78.5,94014.66
74,173.6,74.0,51936.45
24,164.2,67.2,52212.34
51,174.3,69.2,78437.32
82,173.9,72.5,17100.43
21,165.1,67.2,200000.00
88,167.6,63.0,53612.37
55,183.3,81.0,46192.60
44,181.6,82.4,62566.12
23,166.2,64.4,139401.21
62,155.8,61.4,72699.95
90,180.4,78.2,88719.55
48,184.8,82.3,54165.04
78,181.0,81.6,18898.69
41,167.5,65.3,10000.00
78,174.7,69.4,105487.37
88,163.5,63.4,123987.15
23,177.6,76.7,17008.76
37,165.9,67.1,15283.52
18,165.6,66.8,17433.23
74,169.4,66.6,28076.90
37,166.1,67.6,21177.22
88,175.1,73.3,53547.71
78,164.0,69.1,55172.02
28,188.1,87.6,49494.28
60,173.9,74.1,29422.65
51,167.6,66.9,20727.00
65,163.2,62.9,12373.72
61,167.8,66.9,27856.43
27,168.5,69.0,82288.49
64,168.1,70.8,10807.00
51,166.5,62.1,43644.62
40,164.2,63.2,17923.14
51,176.3,78.3,14402.75
85,179.9,76.0,110900.83
89,164.0,62.0,140993.65
41,169.7,72.3,72995.92
74,157.4,61.0,15976.11
75,166.2,67.0,98943.52
27,183.8,82.9,91045.11
55,178.4,75.5,200000.00
51,174.3,73.0,28917.86
52,161.9,63.2,65614.78
74,165.1,64.4,21004.31
88,166.4,65.5,10000.00
75,177.2,72.7,10000.00
24,179.1,75.5,49423.12
51,170.1,68.1,24080.55
87,176.4,69.1,75061.63
78,164.9,67.1,84092.14
83,172.3,72.0,47816.24
52,177.4,80.0,11675.37
76,181.2,74.8,19425.06
20,162.0,59.9,58367.75
50,180.2,80.7,63898.16
77,187.0,80.3,64719.64
54,160.2,61.5,103033.48
90,159.0,59.9,38026.51
20,181.5,83.7,57053.85
38,167.5,67.2,78071.95
50,168.9,68.3,112896.08
66,178.8,77.4,46684.12
39,164.3,62.2,45240.74
47,172.4,69.8,62340.30
57,161.0,58.9,49285.82
47,176.7,76.9,36975.66
56,176.6,76.9,26691.45
84,171.8,68.3,10069.30
60,170.7,69.2,76456.00
88,170.5,70.2,71783.32
45,169.4,64.7,59931.76
25,170.1,71.0,68363.72
72,176.7,71.7,40713.54
71,158.1,54.9,200000.00
31,183.5,81.0,104932.27
31,171.9,72.7,200000.00
25,186.4,86.1,26121.00
56,172.4,72.7,45005.77
43,170.7,67.9,45007.53
76,175.0,79.0,174831.50
85,161.9,63.1,10000.00
34,163.2,61.1,82547.17
51,169.2,71.6,57714.72
41,171.2,71.2,128052.50
31,177.8,82.0,30225.78
86,171.2,75.0,10475.50
71,180.8,77.3,200000.00
48,151.9,51.7,49495.84
28,183.3,79.1,118172.02
23,167.8,60.6,37912.66
67,175.4,73.9,139345.26
48,179.0,79.8,100403.91
19,161.4,62.6,150318.57
50,180.7,79.8,37225.48
47,175.9,76.6,169276.02
74,183.0,84.9,80589.19
57,171.2,70.8,10000.00
43,170.6,69.2,171072.58
20,165.4,63.9,84403.41
27,165.7,70.7,38392.86
61,170.2,67.7,44580.30
74,174.7,78.8,20284.46
32,175.9,73.3,57359.10
45,163.5,61.6,82637.63
24,169.9,70.6,55640.01
20,172.2,71.9,61795.98
70,155.5,53.1,30697.53
78,176.6,76.9,21912.97
76,168.8,62.9,51706.24
88,170.7,75.4,63345.89
67,180.8,74.2,34666.53
88,163.6,65.1,76798.89
38,164.5,66.6,109198.39
63,154.5,60.2,120564.41
39,170.0,65.1,32346.26
37,178.2,77.8,11244.53
38,155.7,55.0,74004.81
81,163.2,64.7,38707.61
72,171.6,64.9,51215.26
30,167.2,68.7,32456.86
56,167.3,71.1,200000.00
72,171.5,69.7,34449.43
73,183.3,80.9,200000.00
81,170.8,71.9,101028.19
70,172.2,72.2,129125.88
85,173.8,67.7,44546.77
74,156.8,55.3,23685.44
59,172.7,70.4,94118.70
27,159.7,61.6,68246.58
87,170.7,68.5,31827.10
53,178.1,76.4,94969.71
20,167.6,70.4,85004.78
52,178.0,75.0,10629.43
20,158.4,56.9,87436.89
36,172.4,72.8,119316.45
73,172.5,75.1,12722.74
74,151.6,56.0,200000.00
90,174.1,71.3,176772.49
33,150.0,53.5,10658.47
28,171.6,69.2,36240.68
39,173.6,73.2,22391.27
45,167.5,61.0,17199.41
36,171.6,71.0,66362.41
89,186.3,82.8,57209.74
76,166.6,69.3,22057.42
81,162.2,58.9,24470.88
65,184.7,78.4,50546.47
47,171.8,71.9,72428.47
38,178.5,80.4,23791.50
83,158.9,60.2,53248.33
28,153.0,55.5,82244.05
50,164.2,62.4,114116.68
23,169.0,68.7,65213.16
42,166.6,63.7,57768.98
85,166.5,62.6,40335.91
60,157.1,60.9,34640.52
24,171.7,68.1,58743.59
38,168.4,70.1,54498.39
29,154.8,57.3,72550.62
65,168.0,70.7,25135.24
49,169.2,65.5,89053.26
39,177.6,78.1,12744.43
68,166.4,66.5,92433.20
55,177.0,70.8,41324.24
69,176.2,72.4,18075.22
74,164.4,62.8,18175.38
30,174.9,74.6,81989.19
80,178.1,73.3,55948.70
24,177.8,72.2,60214.62
20,172.6,70.3,42138.04
21,169.4,71.6,34684.18
70,160.5,62.2,55709.46
23,178.4,75.5,48474.78
82,159.8,63.0,25158.57
71,168.9,65.5,11040.80
71,177.7,81.2,26593.01
41,163.1,68.8,57389.48
34,170.0,67.9,105243.04
41,159.0,60.9,10000.00
72,167.5,67.0,31784.14
33,163.0,62.2,60435.67
76,164.5,67.7,55682.06
43,174.0,68.2,52331.34
31,174.7,72.1,31090.44
46,166.0,67.6,24756.33
84,172.0,75.6,74616.24
40,166.8,70.8,61291.89
37,167.6,65.3,46606.29
70,162.0,60.6,200000.00
87,166.4,65.1,149065.29
34,156.3,62.9,77722.90
54,184.8,83.1,114766.08
75,178.5,84.9,89441.58
27,187.2,85.9,39044.53
33,178.0,81.0,18352.52
69,172.2,70.8,119018.96
38,154.8,55.0,49338.55
59,177.3,82.6,112393.13
52,179.5,73.3,104431.66
73,162.1,63.8,12956.04
53,174.0,73.0,87950.98
39,171.2,68.5,200000.00
39,169.6,70.0,42580.46
22,173.9,72.1,68378.61
26,173.4,69.5,127578.50
30,163.1,59.9,13402.98
81,176.9,76.4,10000.00
52,159.9,58.9,43523.00
89,173.5,70.6,12222.83
21,172.2,68.6,168048.28
90,164.8,62.7,108601.72
66,178.8,76.2,161403.89
54,156.8,55.2,48071.83
54,172.0,70.0,137309.75
87,171.5,72.2,54394.30
33,181.2,80.5,71756.48
42,174.7,71.7,200000.00
76,154.5,55.0,16171.67
19,166.8,70.3,200000.00
65,181.4,80.1,10000.00
63,168.9,69.9,49335.90
58,162.2,66.8,82816.38
50,169.6,72.1,32107.50
70,181.7,81.8,64764.78
85,164.1,59.3,69732.92
61,162.7,61.7,87427.60
78,168.4,63.9,41809.99
18,165.5,69.7,27150.41
28,175.2,72.5,59278.82
57,167.5,65.0,37456.05
76,172.5,72.3,51335.65
36,181.4,80.8,37857.32
71,163.4,65.4,59897.44
74,177.3,75.4,28998.47
62,176.3,78.1,32533.16
66,161.3,61.4,18433.39
33,179.6,72.8,57595.41
61,161.4,61.3,22253.93
29,159.8,59.9,66065.20
57,164.1,66.5,125128.98
83,164.4,67.6,200000.00
36,167.6,65.1,45304.38
78,162.2,56.7,200000.00
65,174.0,78.5,87105.94
60,169.1,69.2,56093.32
75,171.3,64.2,200000.00
63,174.7,68.3,22599.62
46,180.7,79.0,49348.50
29,167.0,65.4,38259.84
43,165.7,69.6,15649.95
65,175.6,72.4,121933.97
86,178.8,76.5,65206.79
86,170.6,68.0,91210.67
76,170.5,69.3,89883.31
72,168.5,68.3,10918.75
22,165.7,69.9,146558.03
60,167.2,68.0,25457.94
38,169.4,69.1,120541.25
48,174.6,75.4,16234.31
80,175.9,78.2,69488.57
33,163.6,60.2,28443.83
73,170.4,67.7,61382.89
19,165.0,65.9,43538.82
32,168.2,67.9,64951.80
51,170.9,68.3,40852.99
53,176.7,69.1,32551.88
42,169.0,67.7,154402.42
31,173.1,73.0,154350.73
54,162.5,67.7,200000.00
61,162.1,63.1,52480.15
56,168.2,67.9,46654.19
24,193.4,87.4,55148.03
62,164.5,64.9,27953.15
37,171.1,68.8,17054.87
64,172.9,73.4,31903.17
24,170.2,70.9,26774.90
22,165.8,70.2,86080.80
85,173.9,73.4,105120.83
29,163.6,65.9,10000.00
31,172.7,67.5,25474.13
37,165.9,67.1,74036.52
56,177.0,77.4,59303.01
43,157.5,59.9,43225.59
31,169.2,68.6,42107.75
60,162.2,62.6,70742.62
27,175.8,79.1,74590.88
62,175.9,69.4,16087.75
18,151.6,58.9,10411.88
47,161.3,63.7,48175.44
23,176.5,73.3,100285.59
38,169.1,70.2,34890.02
56,174.3,74.2,200000.00
24,169.9,66.3,109253.84
56,171.1,73.4,34077.46
