age,height_cm,weight_kg,income,bmi,bmi_category
73,179.1,78.2,64388.41,24.38,Normal
88,163.2,65.7,66575.04,24.67,Normal
37,164.9,63.9,26126.64,23.50,Normal
74,159.9,59.1,99415.02,23.11,Normal
37,184.2,81.7,80059.74,24.08,Normal
70,172.1,73.8,26046.97,24.92,Normal
75,173.4,72.0,17878.44,23.95,Normal
50,160.6,59.8,27901.67,23.19,Normal
71,170.0,65.8,13297.02,22.77,Normal
37,173.6,72.9,60293.78,24.19,Normal
23,168.2,66.2,145071.53,23.40,Normal
25,177.5,75.4,179722.58,23.93,Normal
50,186.2,82.5,18757.91,23.80,Normal
83,163.4,62.7,101508.94,23.48,Normal
27,162.8,64.5,53950.87,24.34,Normal
51,163.9,66.1,10000.00,24.61,Normal
69,181.2,84.7,37072.13,25.80,Overweight
32,177.3,77.7,33538.98,24.72,Normal
70,169.1,73.4,148674.46,25.67,Overweight
40,170.3,67.1,22832.02,23.14,Normal
77,164.3,60.0,82995.05,22.23,Normal
60,176.2,74.5,45405.97,24.00,Normal
57,167.3,69.7,13609.87,24.90,Normal
30,168.2,70.0,30418.66,24.74,Normal
51,174.3,76.5,198440.90,25.18,Overweight
80,168.7,60.7,42776.53,21.33,Normal
19,168.4,71.8,112990.46,25.32,Overweight
73,170.1,70.4,107551.72,24.33,Normal
53,175.6,69.4,33400.99,22.51,Normal
70,181.5,81.2,15751.61,24.65,Normal
66,174.1,73.3,17732.28,24.18,Normal
49,175.6,75.1,184661.30,24.36,Normal
40,168.6,71.2,57316.39,25.05,Overweight
63,165.0,66.6,10502.19,24.46,Normal
28,174.6,68.7,105909.77,22.54,Normal
60,171.2,69.9,10012.73,23.85,Normal
24,160.0,56.6,23772.07,22.11,Normal
65,167.7,69.4,53795.40,24.68,Normal
63,169.4,73.1,200000.00,25.47,Overweight
24,166.4,62.7,104211.66,22.64,Normal
73,180.4,76.1,32390.73,23.38,Normal
48,173.4,69.5,51290.52,23.11,Normal
75,179.6,76.1,114406.89,23.59,Normal
21,171.8,72.1,179773.90,24.43,Normal
31,170.6,68.5,40010.72,23.54,Normal
54,163.4,66.0,41069.58,24.72,Normal
31,170.1,72.6,23688.25,25.09,Overweight
42,170.1,72.7,90982.38,25.13,Overweight
66,160.4,58.4,125888.65,22.70,Normal
28,166.2,70.5,10000.00,25.52,Overweight
67,167.7,71.9,34984.24,25.57,Overweight
25,172.9,76.4,16775.54,25.56,Overweight
30,173.2,71.5,57273.57,23.83,Normal
60,165.9,63.8,16409.68,23.18,Normal
75,173.3,69.1,15239.58,23.01,Normal
30,168.7,65.0,137440.40,22.84,Normal
39,150.0,54.0,43076.96,24.00,Normal
85,166.6,69.2,47375.61,24.93,Normal
90,177.6,79.6,73739.57,25.24,Overweight
60,158.2,58.6,119792.38,23.41,Normal
50,170.8,69.9,34304.94,23.96,Normal
43,181.1,78.4,34999.71,23.90,Normal
62,164.7,63.2,35133.78,23.30,Normal
61,170.0,71.6,132340.88,24.78,Normal
39,160.9,63.2,47026.04,24.41,Normal
19,181.4,79.4,38475.99,24.13,Normal
29,169.4,69.9,71081.69,24.36,Normal
87,170.3,71.5,200000.00,24.65,Normal
48,179.5,79.1,53457.01,24.55,Normal
53,174.6,70.6,39233.09,23.16,Normal
52,163.9,67.2,200000.00,25.02,Overweight
75,165.5,66.5,165479.03,24.28,Normal
22,173.5,70.9,145236.80,23.55,Normal
24,165.6,66.5,31861.71,24.25,Normal
38,155.2,58.8,29141.93,24.41,Normal
53,169.6,72.3,10000.00,25.14,Overweight
66,159.6,58.0,119157.75,22.77,Normal
53,181.3,82.9,53587.75,25.22,Overweight
50,171.2,70.4,10000.00,24.02,Normal
86,163.7,62.8,147479.01,23.43,Normal
29,165.1,63.8,36907.22,23.41,Normal
59,156.8,56.0,41237.61,22.78,Normal
57,162.3,58.0,12811.60,22.02,Normal
52,177.1,77.3,77866.95,24.65,Normal
76,185.6,88.6,78540.63,25.72,Overweight
37,175.1,68.7,47886.53,22.41,Normal
87,169.4,66.0,34315.90,23.00,Normal
42,167.0,69.2,200000.00,24.81,Normal
57,163.3,63.9,16928.39,23.96,Normal
56,184.4,84.1,26120.74,24.73,Normal
80,168.7,68.0,94580.76,23.89,Normal
50,184.8,80.2,20066.00,23.48,Normal
38,179.8,76.9,18777.08,23.79,Normal
19,157.8,52.6,138433.46,21.12,Normal
44,165.3,62.1,86202.19,22.73,Normal
78,165.3,68.4,77304.11,25.03,Overweight
18,169.4,72.4,58889.65,25.23,Overweight
83,169.6,73.3,26818.31,25.48,Overweight
57,191.0,88.9,39829.94,24.37,Normal
28,162.5,56.6,46565.30,21.43,Normal
40,171.6,68.8,107084.44,23.36,Normal
58,174.3,76.9,73353.82,25.31,Overweight
41,170.0,74.2,21692.44,25.67,Overweight
25,170.8,74.1,101759.38,25.40,Overweight
66,162.7,62.8,11038.26,23.72,Normal
67,170.7,66.0,37473.85,22.65,Normal
26,173.6,72.2,17888.88,23.96,Normal
38,172.3,71.3,23118.42,24.02,Normal
35,174.0,77.4,200000.00,25.56,Overweight
66,179.9,78.4,13308.68,24.22,Normal
71,176.6,74.9,23920.80,24.02,Normal
71,170.5,70.0,79153.15,24.08,Normal
86,161.8,64.0,32753.85,24.45,Normal
74,165.8,67.9,57513.80,24.70,Normal
41,168.5,66.0,181021.84,23.25,Normal
25,171.8,67.7,90124.14,22.94,Normal
62,166.7,70.8,32792.80,25.48,Overweight
84,163.4,59.2,44330.61,22.17,Normal
89,161.7,67.7,80605.62,25.89,Overweight
34,158.4,54.5,88545.26,21.72,Normal
35,168.4,66.3,50942.65,23.38,Normal
20,159.7,64.1,69170.27,25.13,Overweight
28,163.0,63.8,69230.89,24.01,Normal
58,167.2,63.1,46017.38,22.57,Normal
57,160.6,63.2,29000.39,24.50,Normal
45,172.7,71.8,97549.41,24.07,Normal
40,175.2,73.0,65016.36,23.78,Normal
78,166.2,64.4,10000.00,23.31,Normal
51,166.9,66.7,23778.24,23.94,Normal
77,173.8,70.7,32440.85,23.41,Normal
88,165.0,72.6,41721.01,26.67,Overweight
41,164.5,64.2,147757.65,23.72,Normal
32,178.4,75.3,200000.00,23.66,Normal
87,176.2,72.9,10000.00,23.48,Normal
64,174.2,78.2,65758.49,25.77,Overweight
39,176.5,69.8,53231.51,22.41,Normal
63,156.2,59.6,42503.32,24.43,Normal
55,179.5,76.6,81505.34,23.77,Normal
84,172.7,67.3,57215.96,22.56,Normal
36,177.1,72.8,36115.87,23.21,Normal
90,172.7,72.5,51333.39,24.31,Normal
86,170.3,67.0,82511.11,23.10,Normal
31,168.1,68.6,75743.08,24.28,Normal
30,172.6,76.7,59251.56,25.75,Overweight
56,167.8,68.1,29574.73,24.19,Normal
21,176.1,70.1,200000.00,22.60,Normal
39,158.9,58.1,69102.09,23.01,Normal
49,166.2,65.4,99309.37,23.68,Normal
88,184.3,80.5,31658.31,23.70,Normal
90,165.6,66.3,59301.78,24.18,Normal
29,168.3,68.9,58878.16,24.32,Normal
83,163.8,69.6,10000.00,25.94,Overweight
24,172.4,71.3,26233.27,23.99,Normal
72,164.8,61.7,25800.50,22.72,Normal
79,168.7,71.8,29125.44,25.23,Overweight
83,175.9,78.0,19090.06,25.21,Overweight
34,165.1,66.1,52012.99,24.25,Normal
83,175.5,73.2,175852.53,23.77,Normal
26,175.8,76.0,56230.70,24.59,Normal
55,177.4,74.9,17268.42,23.80,Normal
52,171.0,64.0,19770.87,21.89,Normal
41,192.7,90.8,35611.80,24.45,Normal
19,177.4,78.2,13984.89,24.85,Normal
74,172.3,75.6,65761.49,25.47,Overweight
42,163.9,62.3,168985.34,23.19,Normal
66,169.3,69.5,29776.19,24.25,Normal
47,180.0,78.5,53546.13,24.23,Normal
45,182.0,79.8,33986.33,24.09,Normal
82,180.3,78.4,28370.73,24.12,Normal
24,175.5,74.0,59301.91,24.03,Normal
71,161.2,63.0,27523.72,24.24,Normal
72,173.4,74.4,24154.30,24.74,Normal
45,161.3,66.1,11642.48,25.41,Overweight
37,159.6,58.9,52992.61,23.12,Normal
18,171.7,70.2,130625.11,23.81,Normal
86,173.7,71.1,94500.10,23.57,Normal
87,176.3,72.9,191486.44,23.45,Normal
35,173.5,67.4,27247.43,22.39,Normal
20,173.7,72.5,107528.02,24.03,Normal
26,163.1,65.3,18534.87,24.55,Normal
22,169.3,68.3,94666.08,23.83,Normal
78,159.5,61.0,200000.00,23.98,Normal
83,156.0,59.7,78301.47,24.53,Normal
29,175.2,77.9,200000.00,25.38,Overweight
72,164.7,63.8,29170.68,23.52,Normal
31,176.1,70.9,44310.21,22.86,Normal
44,177.8,75.6,21931.14,23.91,Normal
61,165.7,71.5,51590.31,26.04,Overweight
70,174.1,69.3,63734.72,22.86,Normal
81,165.4,67.6,51185.41,24.71,Normal
21,157.1,62.7,32632.15,25.40,Overweight
32,170.9,63.0,32148.92,21.57,Normal
38,166.7,67.9,68215.82,24.43,Normal
40,166.9,68.7,43322.18,24.66,Normal
90,183.8,80.3,17732.52,23.77,Normal
74,159.3,59.0,10000.00,23.25,Normal
41,172.7,69.8,29255.96,23.40,Normal
88,163.0,62.8,14410.85,23.64,Normal
54,176.4,73.8,23570.83,23.72,Normal
54,172.1,69.6,34159.76,23.50,Normal
49,172.7,70.5,43839.43,23.64,Normal
28,163.4,67.7,27456.91,25.36,Overweight
86,164.6,61.4,200000.00,22.66,Normal
19,176.5,69.5,16071.22,22.31,Normal
30,182.4,83.5,148459.80,25.10,Overweight
34,173.4,71.6,43194.44,23.81,Normal
38,163.7,63.1,27667.25,23.55,Normal
27,172.4,71.0,84846.30,23.89,Normal
19,187.0,84.6,33262.59,24.19,Normal
67,170.7,68.4,24185.54,23.47,Normal
88,180.2,79.5,200000.00,24.48,Normal
26,164.8,62.3,10000.00,22.94,Normal
39,169.7,68.2,40110.44,23.68,Normal
54,174.3,66.3,59328.36,21.82,Normal
85,172.8,75.2,177548.41,25.18,Overweight
68,164.6,64.5,34933.11,23.81,Normal
73,164.3,66.8,200000.00,24.75,Normal
60,176.9,76.5,99010.92,24.45,Normal
48,178.3,77.9,10000.00,24.50,Normal
32,180.6,78.3,13513.76,24.01,Normal
81,182.6,81.2,61884.12,24.35,Normal
76,170.9,67.2,17859.64,23.01,Normal
19,167.8,64.1,81865.11,22.77,Normal
70,179.5,77.0,33237.08,23.90,Normal
24,175.0,71.5,17040.61,23.35,Normal
71,163.1,68.1,20986.78,25.60,Overweight
78,162.8,64.7,107634.93,24.41,Normal
27,173.4,70.0,10000.00,23.28,Normal
49,168.8,67.6,128094.77,23.72,Normal
27,169.8,69.6,131513.06,24.14,Normal
59,177.5,75.4,37105.19,23.93,Normal
85,175.3,74.6,14126.11,24.28,Normal
23,179.3,77.4,82458.97,24.08,Normal
47,156.5,54.6,32275.22,22.29,Normal
89,171.8,64.4,12786.85,21.82,Normal
39,174.9,72.3,200000.00,23.64,Normal
27,159.3,62.6,22557.13,24.67,Normal
53,165.4,64.6,13291.00,23.61,Normal
55,164.1,68.3,64622.89,25.36,Overweight
66,170.2,69.4,47038.21,23.96,Normal
40,181.4,83.0,190488.64,25.22,Overweight
87,184.2,84.9,35500.78,25.02,Overweight
56,164.3,67.9,35839.92,25.15,Overweight
38,173.7,68.8,67608.14,22.80,Normal
88,173.9,72.6,59834.90,24.01,Normal
85,172.7,75.2,61501.22,25.21,Overweight
54,172.8,72.5,63865.50,24.28,Normal
19,172.1,72.7,57984.61,24.55,Normal
61,181.8,75.2,34370.15,22.75,Normal
58,177.7,81.5,105787.55,25.81,Overweight
28,162.6,61.1,36165.85,23.11,Normal
64,175.6,68.0,103124.63,22.05,Normal
79,176.2,73.5,174340.26,23.67,Normal
25,172.2,63.8,27173.34,21.52,Normal
70,177.9,72.7,200000.00,22.97,Normal
28,171.3,78.1,26329.01,26.62,Overweight
72,171.4,69.4,26500.77,23.62,Normal
48,170.8,65.7,81289.33,22.52,Normal
18,155.9,58.4,74398.01,24.03,Normal
88,169.4,66.2,53338.41,23.07,Normal
30,165.3,68.2,104422.90,24.96,Normal
61,161.7,60.1,62764.53,22.99,Normal
31,180.0,78.6,200000.00,24.26,Normal
86,173.5,68.8,47661.32,22.86,Normal
71,169.8,77.0,23172.79,26.71,Overweight
76,166.0,67.6,30431.69,24.53,Normal
49,172.1,70.6,76417.75,23.84,Normal
52,176.9,74.2,77430.40,23.71,Normal
64,164.2,63.0,60210.78,23.37,Normal
75,170.0,67.1,23277.09,23.22,Normal
79,176.1,72.1,135613.15,23.25,Normal
19,156.4,63.7,200000.00,26.04,Overweight
66,169.6,67.4,51332.59,23.43,Normal
25,167.0,60.5,200000.00,21.69,Normal
39,169.1,65.1,109033.31,22.77,Normal
78,166.5,69.3,200000.00,25.00,Normal
36,171.0,69.4,76508.56,23.73,Normal
76,183.5,80.4,56540.99,23.88,Normal
51,167.7,71.0,106717.39,25.25,Overweight
34,172.0,68.7,33845.18,23.22,Normal
42,184.0,83.2,72127.01,24.57,Normal
56,166.1,64.2,165615.33,23.27,Normal
73,182.7,81.8,104541.32,24.51,Normal
62,170.0,68.2,48626.13,23.60,Normal
86,182.5,79.2,59883.26,23.78,Normal
81,175.3,76.2,98882.48,24.80,Normal
72,172.1,73.3,95968.97,24.75,Normal
62,169.5,68.5,98207.34,23.84,Normal
39,165.6,64.4,67864.79,23.48,Normal
48,170.5,74.6,23805.89,25.66,Overweight
26,176.3,76.4,27477.99,24.58,Normal
45,169.9,68.1,75722.33,23.59,Normal
85,167.8,65.6,105671.63,23.30,Normal
49,168.2,71.0,94044.27,25.10,Overweight
26,176.9,75.5,27230.24,24.13,Normal
65,178.6,76.1,43639.92,23.86,Normal
88,165.3,65.9,17377.43,24.12,Normal
81,165.3,66.6,14292.53,24.37,Normal
38,172.7,71.4,53804.35,23.94,Normal
51,180.7,82.0,169756.28,25.11,Overweight
56,178.0,79.8,54699.06,25.19,Overweight
36,161.2,64.0,200000.00,24.63,Normal
37,168.2,72.0,43134.77,25.45,Overweight
35,163.5,64.2,51424.69,24.02,Normal
90,168.1,69.9,20493.69,24.74,Normal
72,181.2,81.8,36580.07,24.91,Normal
79,160.0,64.5,17134.24,25.20,Overweight
77,158.7,63.2,12443.76,25.09,Overweight
88,164.2,66.6,17398.51,24.70,Normal
25,172.0,76.9,53988.47,25.99,Overweight
82,174.3,71.3,25764.24,23.47,Normal
22,173.1,71.4,31885.06,23.83,Normal
52,178.2,75.6,72305.96,23.81,Normal
61,157.7,58.6,12405.06,23.56,Normal
44,178.3,70.3,53782.89,22.11,Normal
28,167.8,71.7,107263.77,25.46,Overweight
32,175.1,70.5,115946.23,22.99,Normal
78,160.7,62.5,79593.57,24.20,Normal
41,170.0,65.1,47706.09,22.53,Normal
40,171.7,72.6,28521.49,24.63,Normal
85,178.1,73.8,46427.88,23.27,Normal
28,158.9,57.2,200000.00,22.65,Normal
84,170.2,70.1,63929.61,24.20,Normal
85,162.4,61.2,45414.40,23.20,Normal
61,173.5,70.5,83042.00,23.42,Normal
30,175.4,74.4,52288.41,24.18,Normal
29,179.0,79.3,61266.71,24.75,Normal
38,166.3,63.9,40043.95,23.11,Normal
60,176.5,71.8,34417.98,23.05,Normal
29,179.5,77.4,122538.25,24.02,Normal
51,158.5,61.9,10000.00,24.64,Normal
26,174.3,77.3,76919.90,25.44,Overweight
57,176.7,71.7,32555.47,22.96,Normal
19,168.2,66.9,10000.00,23.65,Normal
69,161.5,66.1,20798.37,25.34,Overweight
22,176.6,80.8,48403.95,25.91,Overweight
32,161.6,59.7,54781.60,22.86,Normal
30,168.8,66.2,97322.19,23.23,Normal
78,169.7,70.3,103465.62,24.41,Normal
21,175.0,71.8,12428.34,23.44,Normal
49,165.6,63.5,70230.05,23.16,Normal
61,165.2,66.2,96323.53,24.26,Normal
55,170.7,74.6,60889.05,25.60,Overweight
67,177.0,71.3,78588.10,22.76,Normal
76,186.0,87.5,10000.00,25.29,Overweight
46,159.4,59.3,20508.30,23.34,Normal
78,172.2,72.2,170966.10,24.35,Normal
41,162.4,68.1,38872.44,25.82,Overweight
89,177.1,76.3,200000.00,24.33,Normal
54,163.4,63.2,15822.66,23.67,Normal
71,165.3,67.7,200000.00,24.78,Normal
81,165.9,65.5,28858.02,23.80,Normal
75,169.5,70.5,108659.09,24.54,Normal
80,172.3,70.6,38327.93,23.78,Normal
57,173.4,74.7,55486.14,24.84,Normal
21,170.0,65.2,85456.89,22.56,Normal
53,160.7,58.9,28789.34,22.81,Normal
31,175.1,69.4,102824.00,22.64,Normal
82,169.6,68.9,39359.47,23.95,Normal
35,178.1,71.5,58689.92,22.54,Normal
34,165.0,63.3,10000.00,23.25,Normal
36,158.8,57.2,36907.74,22.68,Normal
64,169.8,73.6,155899.38,25.53,Overweight
59,179.1,74.0,93431.87,23.07,Normal
87,171.1,66.4,111042.62,22.68,Normal
48,168.6,69.0,52457.79,24.27,Normal
38,163.9,69.5,200000.00,25.87,Overweight
21,182.3,79.4,64820.24,23.89,Normal
18,162.8,63.5,27603.23,23.96,Normal
45,164.9,69.1,107948.02,25.41,Overweight
85,174.0,75.3,114704.76,24.87,Normal
56,157.0,60.4,88116.09,24.50,Normal
83,178.9,75.1,34791.83,23.46,Normal
25,174.4,74.4,64415.09,24.46,Normal
24,176.3,70.5,175215.28,22.68,Normal
78,173.9,70.7,76847.12,23.38,Normal
25,168.9,72.8,13224.04,25.52,Overweight
21,162.6,67.4,28392.80,25.49,Overweight
47,169.0,69.9,27229.04,24.47,Normal
85,163.2,58.1,25358.96,21.81,Normal
68,173.4,68.5,10000.00,22.78,Normal
25,175.6,72.0,200000.00,23.35,Normal
79,180.3,77.5,22722.69,23.84,Normal
79,172.6,67.7,24251.28,22.73,Normal
76,176.5,74.0,10000.00,23.75,Normal
83,167.9,73.0,109050.28,25.90,Overweight
35,166.7,67.9,46073.81,24.43,Normal
89,173.3,72.7,36459.45,24.21,Normal
41,167.3,64.1,38237.69,22.90,Normal
76,171.9,66.0,84863.74,22.34,Normal
60,162.6,59.8,32459.84,22.62,Normal
74,163.8,59.4,10000.00,22.14,Normal
63,174.4,73.2,15637.01,24.07,Normal
64,176.2,75.7,14922.93,24.38,Normal
62,163.1,60.9,64059.29,22.89,Normal
